Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Price,Total_Sales,City,Gender
ORD0033,2025-09-21,CUST003,Headphones,Electronics,2,3000,6000,Delhi,Female
ORD0034,2025-10-20,CUST005,Monitor,Electronics,5,12000,60000,Bangalore,Male
ORD0035,2025-02-18,CUST007,Sneakers,Clothing,1,2800,2800,Chennai,Female
ORD0036,2025-08-28,CUST014,Sneakers,Clothing,1,2800,2800,Chennai,Male
ORD0037,2025-06-23,CUST024,Keyboard,Electronics,1,1800,1800,Mumbai,Male
ORD0038,2025-03-13,CUST015,Monitor,Electronics,4,12000,48000,Mumbai,Female
ORD0039,2025-02-08,CUST028,Jeans,Clothing,4,1800,7200,Hyderabad,Male
ORD0040,2025-01-08,CUST027,Monitor,Electronics,1,12000,12000,Mumbai,Male
ORD0041,2025-04-20,CUST016,Sneakers,Clothing,4,2800,11200,Pune,Male
ORD0042,2025-05-16,CUST013,T-Shirt,Clothing,4,800,3200,Delhi,Female
ORD0043,2025-09-07,CUST022,Table,Furniture,2,9000,18000,Mumbai,Female
ORD0044,2025-10-05,CUST019,Laptop,Electronics,1,65000,65000,Chennai,Female
ORD0045,2025-09-02,CUST019,Laptop,Electronics,5,65000,325000,Hyderabad,Male
ORD0046,2025-04-06,CUST003,Monitor,Electronics,1,12000,12000,Hyderabad,Male
ORD0047,2025-03-03,CUST013,Desk,Furniture,5,6000,30000,Mumbai,Male
ORD0048,2025-12-03,CUST014,Office Chair,Furniture,5,7500,37500,Hyderabad,Female
ORD0049,2025-06-10,CUST022,Jeans,Clothing,2,1800,3600,Delhi,Female
ORD0050,2025-06-11,CUST015,Headphones,Electronics,1,3000,3000,Pune,Female
ORD0051,2025-02-07,CUST004,Table,Furniture,5,9000,45000,Mumbai,Female
ORD0052,2025-02-05,CUST029,Headphones,Electronics,2,3000,6000,Delhi,Female
ORD0053,2025-10-06,CUST027,Keyboard,Electronics,3,1800,5400,Hyderabad,Male
ORD0054,2025-12-06,CUST010,Table,Furniture,1,9000,9000,Mumbai,Female
ORD0055,2025-10-11,CUST024,Laptop,Electronics,2,65000,130000,Delhi,Female
ORD0056,2025-06-25,CUST023,Desk,Furniture,2,6000,12000,Chennai,Female
ORD0057,2025-01-27,CUST009,Sofa,Furniture,1,25000,25000,Chennai,Female
ORD0058,2025-06-20,CUST001,T-Shirt,Clothing,2,800,1600,Chennai,Female
ORD0059,2025-12-28,CUST018,Keyboard,Electronics,4,1800,7200,Hyderabad,Male
ORD0060,2025-12-20,CUST029,Laptop,Electronics,2,65000,130000,Hyderabad,Male
ORD0061,2025-03-17,CUST018,Dress,Clothing,4,2200,8800,Mumbai,Male
ORD0062,2025-01-21,CUST029,Jacket,Clothing,3,3500,10500,Mumbai,Male
ORD0063,2025-10-14,CUST012,Office Chair,Furniture,4,7500,30000,Hyderabad,Male
ORD0064,2025-04-01,CUST026,Smartphone,Electronics,4,30000,120000,Pune,Male
ORD0065,2025-07-30,CUST026,Bookshelf,Furniture,2,4500,9000,Delhi,Male
ORD0066,2025-01-20,CUST013,Office Chair,Furniture,4,7500,30000,Mumbai,Male
ORD0067,2025-04-27,CUST010,Jacket,Clothing,2,3500,7000,Pune,Male
ORD0068,2025-02-05,CUST009,Jacket,Clothing,3,3500,10500,Delhi,Female
ORD0069,2025-01-15,CUST011,Table,Furniture,1,9000,9000,Delhi,Male
ORD0070,2025-02-25,CUST002,Bookshelf,Furniture,5,4500,22500,Bangalore,Female
ORD0071,2025-11-07,CUST014,Bookshelf,Furniture,5,4500,22500,Pune,Female
ORD0072,2025-01-23,CUST009,Desk,Furniture,4,6000,24000,Pune,Male
ORD0073,2025-12-07,CUST003,Sneakers,Clothing,3,2800,8400,Hyderabad,Female
ORD0074,2025-06-03,CUST024,Office Chair,Furniture,5,7500,37500,Delhi,Female
ORD0075,2025-06-01,CUST023,Sneakers,Clothing,5,2800,14000,Mumbai,Male
ORD0076,2025-03-31,CUST022,Sneakers,Clothing,5,2800,14000,Hyderabad,Female
ORD0077,2025-01-01,CUST027,Dress,Clothing,3,2200,6600,Delhi,Male
ORD0078,2025-12-02,CUST020,Dress,Clothing,3,2200,6600,Bangalore,Female
ORD0079,2025-08-31,CUST017,Jeans,Clothing,2,1800,3600,Chennai,Male
ORD0080,2025-11-21,CUST022,Dress,Clothing,5,2200,11000,Delhi,Male
ORD0081,2025-04-12,CUST008,Headphones,Electronics,2,3000,6000,Pune,Male
ORD0082,2025-02-07,CUST020,Keyboard,Electronics,4,1800,7200,Bangalore,Male
ORD0083,2025-07-24,CUST016,Sofa,Furniture,2,25000,50000,Mumbai,Male
ORD0084,2025-04-01,CUST008,Keyboard,Electronics,5,1800,9000,Bangalore,Male
ORD0085,2025-03-04,CUST030,Desk,Furniture,4,6000,24000,Mumbai,Female
ORD0086,2025-11-01,CUST018,Table,Furniture,3,9000,27000,Bangalore,Female
ORD0087,2025-03-23,CUST029,Sofa,Furniture,4,25000,100000,Bangalore,Female
ORD0088,2025-09-24,CUST025,Headphones,Electronics,4,3000,12000,Chennai,Male
ORD0089,2025-05-27,CUST003,Sneakers,Clothing,2,2800,5600,Delhi,Female
ORD0090,2025-03-12,CUST003,Dress,Clothing,2,2200,4400,Mumbai,Female
ORD0091,2025-04-20,CUST023,Desk,Furniture,1,6000,6000,Bangalore,Female
ORD0092,2025-08-01,CUST015,Dress,Clothing,1,2200,2200,Mumbai,Female
ORD0093,2025-01-11,CUST023,Dress,Clothing,5,2200,11000,Bangalore,Female
ORD0094,2025-07-19,CUST010,Headphones,Electronics,4,3000,12000,Hyderabad,Male
ORD0095,2025-08-12,CUST009,Jeans,Clothing,4,1800,7200,Pune,Female
ORD0096,2025-03-26,CUST024,Sneakers,Clothing,4,2800,11200,Mumbai,Male
ORD0097,2025-12-06,CUST019,Dress,Clothing,1,2200,2200,Pune,Female
ORD0098,2025-01-26,CUST006,Keyboard,Electronics,3,1800,5400,Bangalore,Female
ORD0099,2025-06-22,CUST011,Keyboard,Electronics,4,1800,7200,Delhi,Female
ORD0100,2025-01-10,CUST016,T-Shirt,Clothing,5,800,4000,Pune,Female
ORD0101,2025-11-30,CUST025,Laptop,Electronics,1,65000,65000,Pune,Male
ORD0102,2025-03-20,CUST020,Laptop,Electronics,2,65000,130000,Mumbai,Female
ORD0103,2025-04-22,CUST019,Office Chair,Furniture,4,7500,30000,Chennai,Female
ORD0104,2025-11-07,CUST020,Jeans,Clothing,1,1800,1800,Mumbai,Female
ORD0105,2025-06-09,CUST001,Monitor,Electronics,5,12000,60000,Chennai,Female
ORD0106,2025-10-31,CUST003,Jeans,Clothing,2,1800,3600,Pune,Female
ORD0107,2025-03-03,CUST026,Table,Furniture,5,9000,45000,Pune,Female
ORD0108,2025-07-09,CUST022,Sofa,Furniture,1,25000,25000,Hyderabad,Female
ORD0109,2025-09-08,CUST027,Keyboard,Electronics,1,1800,1800,Bangalore,Female
ORD0110,2025-03-20,CUST023,Sofa,Furniture,4,25000,100000,Mumbai,Female
ORD0111,2025-09-05,CUST025,Table,Furniture,4,9000,36000,Bangalore,Female
ORD0112,2025-02-14,CUST027,Jeans,Clothing,3,1800,5400,Bangalore,Male
ORD0113,2025-12-09,CUST020,Dress,Clothing,4,2200,8800,Delhi,Male
ORD0114,2025-09-07,CUST006,Jacket,Clothing,2,3500,7000,Delhi,Female
ORD0115,2025-11-02,CUST029,Jacket,Clothing,3,3500,10500,Hyderabad,Male
ORD0116,2025-05-04,CUST003,Desk,Furniture,4,6000,24000,Bangalore,Male
ORD0117,2025-12-31,CUST021,Sofa,Furniture,4,25000,100000,Bangalore,Male
ORD0118,2025-07-27,CUST008,Headphones,Electronics,2,3000,6000,Delhi,Female
ORD0119,2025-06-26,CUST017,Dress,Clothing,4,2200,8800,Chennai,Female
ORD0120,2025-06-06,CUST009,Sneakers,Clothing,3,2800,8400,Mumbai,Male
ORD0121,2025-03-03,CUST011,Desk,Furniture,5,6000,30000,Chennai,Male
ORD0122,2025-09-05,CUST024,Smartphone,Electronics,3,30000,90000,Chennai,Female
ORD0123,2025-04-27,CUST010,Smartphone,Electronics,3,30000,90000,Mumbai,Female
ORD0124,2025-05-21,CUST005,Monitor,Electronics,1,12000,12000,Pune,Female
ORD0125,2025-09-09,CUST021,Desk,Furniture,1,6000,6000,Pune,Female
ORD0126,2025-06-24,CUST015,Sneakers,Clothing,2,2800,5600,Pune,Female
ORD0127,2025-02-03,CUST027,T-Shirt,Clothing,4,800,3200,Bangalore,Male
ORD0128,2025-03-18,CUST005,Office Chair,Furniture,5,7500,37500,Delhi,Male
ORD0129,2025-08-02,CUST018,Laptop,Electronics,5,65000,325000,Hyderabad,Male
ORD0130,2025-08-15,CUST015,Sofa,Furniture,3,25000,75000,Hyderabad,Female
ORD0131,2025-01-31,CUST020,Dress,Clothing,5,2200,11000,Chennai,Male
ORD0132,2025-12-05,CUST009,Smartphone,Electronics,1,30000,30000,Mumbai,Male
ORD0133,2025-03-22,CUST003,Monitor,Electronics,1,12000,12000,Bangalore,Female
ORD0134,2025-05-30,CUST016,Table,Furniture,1,9000,9000,Mumbai,Female
ORD0135,2025-08-21,CUST023,Bookshelf,Furniture,1,4500,4500,Chennai,Male
ORD0136,2025-04-12,CUST022,Dress,Clothing,4,2200,8800,Pune,Male
ORD0137,2025-05-17,CUST030,Desk,Furniture,2,6000,12000,Pune,Male
ORD0138,2025-10-19,CUST020,Headphones,Electronics,3,3000,9000,Bangalore,Male
ORD0139,2025-07-26,CUST023,Jacket,Clothing,3,3500,10500,Hyderabad,Female
ORD0140,2025-01-21,CUST020,T-Shirt,Clothing,4,800,3200,Chennai,Female
ORD0141,2025-02-16,CUST001,Bookshelf,Furniture,2,4500,9000,Chennai,Male
ORD0142,2025-01-21,CUST019,Bookshelf,Furniture,2,4500,9000,Bangalore,Female
ORD0143,2025-08-12,CUST019,Jeans,Clothing,4,1800,7200,Pune,Female
ORD0144,2025-06-14,CUST011,Sneakers,Clothing,1,2800,2800,Mumbai,Female
ORD0145,2025-12-06,CUST010,Sneakers,Clothing,4,2800,11200,Hyderabad,Male
ORD0146,2025-05-10,CUST011,T-Shirt,Clothing,3,800,2400,Pune,Female
ORD0147,2025-10-05,CUST022,Office Chair,Furniture,4,7500,30000,Bangalore,Male
ORD0148,2025-11-15,CUST012,Monitor,Electronics,4,12000,48000,Chennai,Female
ORD0149,2025-10-09,CUST009,Smartphone,Electronics,2,30000,60000,Delhi,Female
ORD0150,2025-01-15,CUST004,Sofa,Furniture,5,25000,125000,Mumbai,Male
ORD0151,2025-10-10,CUST001,Dress,Clothing,4,2200,8800,Pune,Male
ORD0152,2025-11-28,CUST004,Keyboard,Electronics,2,1800,3600,Bangalore,Female
ORD0153,2025-09-05,CUST014,Bookshelf,Furniture,4,4500,18000,Mumbai,Female
ORD0154,2025-04-08,CUST013,Desk,Furniture,5,6000,30000,Hyderabad,Male
ORD0155,2025-08-01,CUST025,Headphones,Electronics,3,3000,9000,Hyderabad,Female
ORD0156,2025-06-02,CUST024,Headphones,Electronics,5,3000,15000,Hyderabad,Female
ORD0157,2025-09-05,CUST018,Keyboard,Electronics,3,1800,5400,Delhi,Female
ORD0158,2025-04-07,CUST028,Jacket,Clothing,2,3500,7000,Hyderabad,Female
ORD0159,2025-06-12,CUST002,Keyboard,Electronics,4,1800,7200,Chennai,Female
ORD0160,2025-01-19,CUST016,Jeans,Clothing,2,1800,3600,Hyderabad,Female
ORD0161,2025-09-27,CUST004,Keyboard,Electronics,4,1800,7200,Pune,Male
ORD0162,2025-08-29,CUST003,Jeans,Clothing,3,1800,5400,Delhi,Female
ORD0163,2025-06-18,CUST028,Office Chair,Furniture,5,7500,37500,Bangalore,Female
ORD0164,2025-10-05,CUST028,Sofa,Furniture,1,25000,25000,Hyderabad,Male
ORD0165,2025-02-16,CUST008,Headphones,Electronics,4,3000,12000,Pune,Male
ORD0166,2025-06-03,CUST023,Jeans,Clothing,1,1800,1800,Pune,Female
ORD0167,2025-07-11,CUST012,Headphones,Electronics,4,3000,12000,Mumbai,Male
ORD0168,2025-12-16,CUST019,Sofa,Furniture,2,25000,50000,Mumbai,Male
ORD0169,2025-07-15,CUST028,Monitor,Electronics,5,12000,60000,Chennai,Male
ORD0170,2025-04-29,CUST005,Dress,Clothing,4,2200,8800,Chennai,Female
ORD0171,2025-01-05,CUST022,Jacket,Clothing,4,3500,14000,Delhi,Male
ORD0172,2025-10-28,CUST012,Keyboard,Electronics,3,1800,5400,Chennai,Female
ORD0173,2025-06-04,CUST015,Bookshelf,Furniture,2,4500,9000,Bangalore,Female
ORD0174,2025-10-20,CUST013,Smartphone,Electronics,3,30000,90000,Hyderabad,Female
ORD0175,2025-12-04,CUST001,Bookshelf,Furniture,4,4500,18000,Delhi,Male
ORD0176,2025-11-07,CUST030,Office Chair,Furniture,4,7500,30000,Delhi,Male
ORD0177,2025-11-22,CUST008,Bookshelf,Furniture,2,4500,9000,Hyderabad,Female
ORD0178,2025-02-19,CUST021,Desk,Furniture,1,6000,6000,Delhi,Female
ORD0179,2025-03-09,CUST012,Monitor,Electronics,1,12000,12000,Delhi,Female
ORD0180,2025-04-13,CUST006,Sofa,Furniture,2,25000,50000,Hyderabad,Female
ORD0181,2025-05-20,CUST030,Table,Furniture,2,9000,18000,Delhi,Female
ORD0182,2025-02-28,CUST026,Jacket,Clothing,4,3500,14000,Pune,Male
ORD0183,2025-10-13,CUST028,Keyboard,Electronics,3,1800,5400,Pune,Female
ORD0184,2025-03-05,CUST018,Headphones,Electronics,4,3000,12000,Delhi,Female
ORD0185,2025-11-23,CUST027,Sofa,Furniture,3,25000,75000,Pune,Male
ORD0186,2025-10-15,CUST020,T-Shirt,Clothing,3,800,2400,Hyderabad,Male
ORD0187,2025-08-26,CUST021,Office Chair,Furniture,3,7500,22500,Chennai,Female
ORD0188,2025-01-20,CUST002,Smartphone,Electronics,3,30000,90000,Bangalore,Male
ORD0189,2025-10-03,CUST029,Smartphone,Electronics,2,30000,60000,Bangalore,Female
ORD0190,2025-10-28,CUST014,Dress,Clothing,2,2200,4400,Bangalore,Male
ORD0191,2025-05-24,CUST014,Dress,Clothing,1,2200,2200,Chennai,Female
ORD0192,2025-05-01,CUST015,Keyboard,Electronics,3,1800,5400,Pune,Female
ORD0193,2025-07-23,CUST002,Bookshelf,Furniture,3,4500,13500,Mumbai,Male
ORD0194,2025-04-19,CUST022,T-Shirt,Clothing,5,800,4000,Pune,Male
ORD0195,2025-10-17,CUST005,Jeans,Clothing,2,1800,3600,Pune,Male
ORD0196,2025-04-30,CUST027,Desk,Furniture,3,6000,18000,Mumbai,Male
ORD0197,2025-10-04,CUST005,Jeans,Clothing,3,1800,5400,Mumbai,Male
ORD0198,2025-01-08,CUST005,Office Chair,Furniture,3,7500,22500,Mumbai,Female
ORD0199,2025-01-27,CUST009,Smartphone,Electronics,2,30000,60000,Chennai,Female
ORD0200,2025-02-02,CUST024,Office Chair,Furniture,4,7500,30000,Bangalore,Female
